imagem,deteccoes_brutas,deteccoes_validas,descartadas,Person,Hardhat,NO-Hardhat,Safety Vest,NO-Safety Vest
20260411_095437.jpg,6,5,1,5,0,0,0,0
20260411_095437.jpg,6,5,1,5,0,0,0,0
20260411_095445.jpg,7,0,7,0,0,0,0,0
20260411_095445.jpg,7,0,7,0,0,0,0,0
20260411_095448.jpg,10,5,5,5,0,0,0,0
20260411_095448.jpg,10,5,5,5,0,0,0,0
20260411_095448_resized.jpg,9,2,7,2,0,0,0,0
20260411_095448_resized.jpg,9,2,7,2,0,0,0,0
20260411_095511.jpg,3,1,2,1,0,0,0,0
20260411_095511.jpg,3,1,2,1,0,0,0,0
DSCN7611.JPG,5,3,2,1,0,1,1,0
DSCN7611.JPG,5,3,2,1,0,1,1,0
DSCN7612.JPG,5,4,1,1,1,0,1,1
DSCN7612.JPG,5,4,1,1,1,0,1,1
DSCN7613.JPG,6,5,1,1,2,0,2,0
DSCN7613.JPG,6,5,1,1,2,0,2,0
DSCN7614.JPG,2,1,1,1,0,0,0,0
DSCN7614.JPG,2,1,1,1,0,0,0,0
DSCN7615.JPG,5,4,1,2,1,0,1,0
DSCN7615.JPG,5,4,1,2,1,0,1,0
DSCN7621.JPG,13,13,0,6,4,0,3,0
DSCN7621.JPG,13,13,0,6,4,0,3,0
DSCN7622.JPG,8,7,1,2,2,0,2,1
DSCN7622.JPG,8,7,1,2,2,0,2,1
DSCN7623.JPG,24,22,2,9,5,0,7,1
DSCN7623.JPG,24,22,2,9,5,0,7,1
DSCN7624.JPG,11,9,2,5,2,0,2,0
DSCN7624.JPG,11,9,2,5,2,0,2,0
DSCN7625.JPG,20,18,2,8,4,0,6,0
DSCN7625.JPG,20,18,2,8,4,0,6,0
DSCN7626.JPG,2,0,2,0,0,0,0,0
DSCN7626.JPG,2,0,2,0,0,0,0,0
DSCN7627.JPG,27,24,3,9,7,0,8,0
DSCN7627.JPG,27,24,3,9,7,0,8,0
imagem_web_1.jpeg,87,58,29,25,14,0,19,0
imagem_web_1.jpeg,87,58,29,25,14,0,19,0
imagem_web_10.jpg,6,3,3,2,0,0,1,0
imagem_web_10.jpg,6,3,3,2,0,0,1,0
imagem_web_2.jpg,9,4,5,2,0,0,2,0
imagem_web_2.jpg,9,4,5,2,0,0,2,0
imagem_web_3.jpg,14,8,6,3,2,0,1,2
imagem_web_3.jpg,14,8,6,3,2,0,1,2
imagem_web_4.jpg,11,11,0,5,2,0,3,1
imagem_web_4.jpg,11,11,0,5,2,0,3,1
imagem_web_5.jpg,7,2,5,1,0,0,1,0
imagem_web_5.jpg,7,2,5,1,0,0,1,0
imagem_web_6.jpeg,14,1,13,1,0,0,0,0
imagem_web_6.jpeg,14,1,13,1,0,0,0,0
imagem_web_7.jpg,9,1,8,1,0,0,0,0
imagem_web_7.jpg,9,1,8,1,0,0,0,0
imagem_web_8.jpg,12,6,6,3,0,0,2,1
imagem_web_8.jpg,12,6,6,3,0,0,2,1
imagem_web_9.jpg,33,0,33,0,0,0,0,0
imagem_web_9.jpg,33,0,33,0,0,0,0,0
